fact_idx  method_idx  pass_rate
0  0  1
1  0  1
2  0  1
3  0  1
4  0  1
5  0  1
6  0  1
7  0  1
8  0  1
9  0  1
10  0  1
11  0  1
12  0  1
13  0  1
14  0  1
15  0  1
16  0  1
17  0  1
18  0  1
19  0  1
20  0  1
21  0  1
22  0  0.897436
23  0  1
24  0  1
25  0  1
26  0  0.991453
27  0  1
28  0  1
29  0  0.987179
30  0  1
31  0  1
32  0  0.991453
33  0  1
34  0  1
35  0  0.991453
36  0  1
37  0  1
38  0  1
39  0  1
40  0  1
41  0  1
42  0  1
43  0  1
44  0  1
45  0  1
46  0  1
47  0  1
48  0  1
49  0  1
50  0  1
51  0  1
0  1  1
1  1  1
2  1  1
3  1  1
4  1  1
5  1  1
6  1  1
7  1  0.982906
8  1  1
9  1  1
10  1  1
11  1  1
12  1  1
13  1  1
14  1  1
15  1  1
16  1  1
17  1  1
18  1  1
19  1  0.991453
20  1  1
21  1  1
22  1  1
23  1  1
24  1  1
25  1  1
26  1  1
27  1  1
28  1  1
29  1  0.987179
30  1  1
31  1  1
32  1  1
33  1  1
34  1  1
35  1  1
36  1  1
37  1  1
38  1  1
39  1  1
40  1  1
41  1  1
42  1  1
43  1  1
44  1  1
45  1  1
46  1  1
47  1  1
48  1  1
49  1  0.990385
50  1  1
51  1  1
0  2  1
1  2  1
2  2  1
3  2  1
4  2  1
5  2  1
6  2  1
7  2  1
8  2  1
9  2  1
10  2  1
11  2  1
12  2  1
13  2  1
14  2  1
15  2  1
16  2  1
17  2  1
18  2  1
19  2  0.991453
20  2  1
21  2  1
22  2  0.961538
23  2  1
24  2  1
25  2  1
26  2  1
27  2  1
28  2  1
29  2  1
30  2  1
31  2  1
32  2  1
33  2  1
34  2  1
35  2  0.991453
36  2  1
37  2  0.991453
38  2  1
39  2  1
40  2  1
41  2  1
42  2  0.991453
43  2  1
44  2  1
45  2  1
46  2  1
47  2  1
48  2  1
49  2  1
50  2  1
51  2  1
0  3  1
1  3  1
2  3  0.991453
3  3  1
4  3  1
5  3  1
6  3  1
7  3  1
8  3  1
9  3  1
10  3  1
11  3  1
12  3  1
13  3  1
14  3  1
15  3  1
16  3  1
17  3  1
18  3  1
19  3  1
20  3  0.991453
21  3  1
22  3  1
23  3  1
24  3  1
25  3  1
26  3  1
27  3  1
28  3  1
29  3  1
30  3  1
31  3  1
32  3  1
33  3  0.991453
34  3  1
35  3  1
36  3  1
37  3  0.991453
38  3  1
39  3  1
40  3  1
41  3  1
42  3  1
43  3  1
44  3  1
45  3  1
46  3  1
47  3  1
48  3  0.989011
49  3  0.990385
50  3  1
51  3  1
0  4  1
1  4  1
2  4  1
3  4  1
4  4  1
5  4  1
6  4  1
7  4  0.991453
8  4  1
9  4  1
10  4  1
11  4  1
12  4  1
13  4  1
14  4  1
15  4  0.991453
16  4  1
17  4  1
18  4  1
19  4  1
20  4  1
21  4  1
22  4  0.961538
23  4  1
24  4  1
25  4  1
26  4  1
27  4  1
28  4  1
29  4  1
30  4  1
31  4  1
32  4  1
33  4  0.982906
34  4  1
35  4  0.991453
36  4  1
37  4  1
38  4  1
39  4  1
40  4  1
41  4  1
42  4  1
43  4  1
44  4  1
45  4  1
46  4  1
47  4  1
48  4  1
49  4  1
50  4  1
51  4  1
0  5  1
1  5  1
2  5  1
3  5  1
4  5  1
5  5  1
6  5  1
7  5  1
8  5  1
9  5  1
10  5  1
11  5  1
12  5  1
13  5  1
14  5  1
15  5  1
16  5  1
17  5  1
18  5  1
19  5  1
20  5  1
21  5  1
22  5  0.961538
23  5  1
24  5  1
25  5  1
26  5  0.991453
27  5  1
28  5  1
29  5  1
30  5  1
31  5  1
32  5  1
33  5  1
34  5  1
35  5  1
36  5  1
37  5  1
38  5  1
39  5  1
40  5  1
41  5  1
42  5  1
43  5  1
44  5  1
45  5  1
46  5  1
47  5  1
48  5  1
49  5  1
50  5  1
51  5  1
0  6  1
1  6  1
2  6  1
3  6  1
4  6  1
5  6  1
6  6  1
7  6  0.991453
8  6  0.974359
9  6  1
10  6  0.942308
11  6  1
12  6  1
13  6  1
14  6  0.948718
15  6  1
16  6  0.938462
17  6  1
18  6  1
19  6  1
20  6  0.991453
21  6  1
22  6  0.820513
23  6  1
24  6  1
25  6  0.991453
26  6  0.948718
27  6  1
28  6  1
29  6  0.987179
30  6  1
31  6  1
32  6  1
33  6  0.991453
34  6  1
35  6  1
36  6  1
37  6  1
38  6  1
39  6  1
40  6  0.932692
41  6  1
42  6  0.991453
43  6  0.974359
44  6  1
45  6  1
46  6  1
47  6  1
48  6  1
49  6  1
50  6  1
51  6  0.991453
