fact_idx  method_idx  pass_rate
0  0  1
1  0  0.990385
2  0  0.905983
3  0  0.978022
4  0  0.978022
5  0  0.965812
6  0  1
7  0  0.991453
8  0  0.991453
9  0  1
10  0  0.923077
11  0  0.948718
12  0  0.945055
13  0  0.948718
14  0  0.957265
15  0  0.982906
16  0  0.830769
17  0  1
18  0  1
19  0  1
20  0  0.948718
21  0  0.990385
22  0  0.987179
23  0  0.991453
24  0  0.971154
25  0  0.991453
26  0  0.991453
27  0  0.982906
28  0  0.991453
29  0  0.987179
30  0  0.991453
31  0  1
32  0  0.982906
33  0  0.982906
34  0  1
35  0  1
36  0  1
37  0  0.965812
38  0  0.980769
39  0  1
40  0  0.990385
41  0  1
42  0  0.991453
43  0  0.91453
44  0  0.991453
45  0  0.982906
46  0  1
47  0  0.990385
48  0  0.989011
49  0  0.980769
50  0  0.991453
51  0  1
0  1  1
1  1  1
2  1  0.974359
3  1  1
4  1  1
5  1  1
6  1  0.989011
7  1  0.991453
8  1  0.991453
9  1  1
10  1  0.990385
11  1  0.982906
12  1  1
13  1  1
14  1  1
15  1  1
16  1  0.923077
17  1  1
18  1  1
19  1  1
20  1  0.957265
21  1  0.990385
22  1  0.974359
23  1  0.991453
24  1  0.990385
25  1  0.982906
26  1  0.982906
27  1  0.991453
28  1  1
29  1  0.961538
30  1  0.991453
31  1  0.991453
32  1  0.991453
33  1  0.982906
34  1  1
35  1  1
36  1  1
37  1  1
38  1  0.990385
39  1  1
40  1  1
41  1  1
42  1  0.991453
43  1  0.965812
44  1  1
45  1  0.991453
46  1  1
47  1  1
48  1  0.989011
49  1  0.990385
50  1  1
51  1  1
0  2  1
1  2  1
2  2  0.940171
3  2  0.989011
4  2  1
5  2  0.957265
6  2  1
7  2  0.982906
8  2  0.982906
9  2  1
10  2  0.971154
11  2  0.982906
12  2  1
13  2  0.982906
14  2  1
15  2  0.982906
16  2  0.923077
17  2  1
18  2  1
19  2  1
20  2  0.940171
21  2  0.980769
22  2  0.974359
23  2  0.982906
24  2  0.971154
25  2  0.957265
26  2  0.948718
27  2  0.982906
28  2  0.991453
29  2  0.948718
30  2  1
31  2  1
32  2  0.982906
33  2  0.982906
34  2  1
35  2  1
36  2  0.991453
37  2  0.991453
38  2  1
39  2  1
40  2  0.990385
41  2  0.990385
42  2  0.991453
43  2  0.965812
44  2  0.982906
45  2  0.991453
46  2  1
47  2  1
48  2  0.989011
49  2  0.990385
50  2  1
51  2  0.982906
0  3  1
1  3  0.990385
2  3  0.931624
3  3  0.967033
4  3  1
5  3  0.982906
6  3  0.989011
7  3  0.965812
8  3  0.991453
9  3  1
10  3  0.951923
11  3  0.948718
12  3  0.945055
13  3  0.948718
14  3  0.923077
15  3  0.965812
16  3  0.938462
17  3  1
18  3  1
19  3  0.982906
20  3  0.948718
21  3  0.990385
22  3  0.948718
23  3  0.982906
24  3  0.990385
25  3  0.982906
26  3  0.965812
27  3  1
28  3  0.991453
29  3  0.987179
30  3  1
31  3  0.991453
32  3  1
33  3  0.991453
34  3  1
35  3  1
36  3  1
37  3  1
38  3  0.980769
39  3  0.987179
40  3  0.990385
41  3  0.990385
42  3  0.991453
43  3  0.923077
44  3  0.965812
45  3  0.982906
46  3  0.987179
47  3  0.990385
48  3  0.978022
49  3  0.980769
50  3  1
51  3  0.982906
0  4  0.965812
1  4  0.932692
2  4  0.811966
3  4  0.868132
4  4  0.978022
5  4  0.794872
6  4  0.912088
7  4  0.91453
8  4  0.863248
9  4  0.961538
10  4  0.894231
11  4  0.863248
12  4  0.901099
13  4  0.863248
14  4  0.820513
15  4  0.888889
16  4  0.769231
17  4  0.961538
18  4  0.951923
19  4  0.940171
20  4  0.837607
21  4  0.923077
22  4  0.782051
23  4  0.91453
24  4  0.865385
25  4  0.854701
26  4  0.871795
27  4  0.854701
28  4  0.905983
29  4  0.884615
30  4  0.897436
31  4  0.957265
32  4  0.940171
33  4  0.91453
34  4  0.931624
35  4  0.957265
36  4  0.948718
37  4  0.880342
38  4  0.894231
39  4  0.74359
40  4  0.817308
41  4  0.941748
42  4  0.940171
43  4  0.74359
44  4  0.982906
45  4  0.837607
46  4  0.923077
47  4  0.913462
48  4  0.956044
49  4  0.913462
50  4  0.974359
51  4  0.905983
0  5  0.991453
1  5  0.990385
2  5  0.982906
3  5  1
4  5  1
5  5  0.991453
6  5  1
7  5  1
8  5  0.991453
9  5  1
10  5  0.980769
11  5  1
12  5  1
13  5  1
14  5  1
15  5  1
16  5  1
17  5  1
18  5  1
19  5  0.991453
20  5  1
21  5  0.990385
22  5  0.961538
23  5  1
24  5  1
25  5  0.991453
26  5  1
27  5  0.991453
28  5  1
29  5  0.987179
30  5  0.991453
31  5  1
32  5  1
33  5  1
34  5  1
35  5  1
36  5  1
37  5  1
38  5  0.990385
39  5  1
40  5  1
41  5  1
42  5  1
43  5  0.982906
44  5  0.991453
45  5  1
46  5  1
47  5  1
48  5  0.989011
49  5  1
50  5  1
51  5  1
0  6  1
1  6  1
2  6  1
3  6  0.978022
4  6  1
5  6  0.991453
6  6  1
7  6  0.991453
8  6  0.957265
9  6  1
10  6  0.980769
11  6  0.982906
12  6  1
13  6  1
14  6  0.982906
15  6  0.991453
16  6  0.953846
17  6  1
18  6  0.990385
19  6  1
20  6  1
21  6  1
22  6  0.846154
23  6  0.982906
24  6  1
25  6  0.982906
26  6  1
27  6  1
28  6  1
29  6  1
30  6  0.991453
31  6  1
32  6  1
33  6  1
34  6  0.982906
35  6  1
36  6  0.991453
37  6  1
38  6  0.971154
39  6  0.961538
40  6  0.923077
41  6  0.990385
42  6  1
43  6  0.982906
44  6  1
45  6  0.991453
46  6  1
47  6  0.990385
48  6  1
49  6  0.990385
50  6  1
51  6  0.974359
