fact_idx  method_idx  pass_rate
0  0  0.91453
1  0  0.897436
2  0  0.78022
3  0  0.769231
4  0  0.951923
5  0  0.91453
6  0  0.965812
7  0  0.495726
8  0  0.923077
9  0  0.807692
10  0  0.875
11  0  0.811966
12  0  0.461538
13  0  0.692308
14  0  0.940171
15  0  0.74359
16  0  0.711538
17  0  0.897436
18  0  0.957265
19  0  0.982906
20  0  0.91453
21  0  0.923077
22  0  0.803419
23  0  0.897436
24  0  0.581197
25  0  0.683761
26  0  0.897436
27  0  0.589744
28  0  0.318681
29  0  0.700855
30  0  0.931624
31  0  0.965812
32  0  0.811966
33  0  0.897436
34  0  0.666667
35  0  0.923077
36  0  0.931624
37  0  0.982906
38  0  0.991453
39  0  0.854701
40  0  0.990385
41  0  0.854701
42  0  0.897436
43  0  0.974359
44  0  0.974359
45  0  0.905983
46  0  0.934066
47  0  0.355769
48  0  0.91453
49  0  0.990385
0  1  0.803419
1  1  0.888889
2  1  0.835165
3  1  0.786325
4  1  0.971154
5  1  0.965812
6  1  0.982906
7  1  0.495726
8  1  0.965812
9  1  0.855769
10  1  0.942308
11  1  0.803419
12  1  0.461538
13  1  0.74359
14  1  0.940171
15  1  0.803419
16  1  0.721154
17  1  0.940171
18  1  0.974359
19  1  0.982906
20  1  0.940171
21  1  0.974359
22  1  0.803419
23  1  0.923077
24  1  0.700855
25  1  0.675214
26  1  0.923077
27  1  0.581197
28  1  0.395604
29  1  0.649573
30  1  0.948718
31  1  0.948718
32  1  0.880342
33  1  0.905983
34  1  0.717949
35  1  0.974359
36  1  0.957265
37  1  0.982906
38  1  1
39  1  0.871795
40  1  0.980769
41  1  0.880342
42  1  0.957265
43  1  0.965812
44  1  0.957265
45  1  0.888889
46  1  0.934066
47  1  0.365385
48  1  0.940171
49  1  0.990385
0  2  0.581197
1  2  0.871795
2  2  0.747253
3  2  0.863248
4  2  0.961538
5  2  0.974359
6  2  0.991453
7  2  0.461538
8  2  0.923077
9  2  0.778846
10  2  0.894231
11  2  0.820513
12  2  0.521368
13  2  0.717949
14  2  0.905983
15  2  0.683761
16  2  0.423077
17  2  0.965812
18  2  0.982906
19  2  0.965812
20  2  0.91453
21  2  0.91453
22  2  0.794872
23  2  0.837607
24  2  0.504274
25  2  0.709402
26  2  0.905983
27  2  0.478632
28  2  0.175824
29  2  0.623932
30  2  0.905983
31  2  0.897436
32  2  0.905983
33  2  0.846154
34  2  0.65812
35  2  0.923077
36  2  0.931624
37  2  1
38  2  0.982906
39  2  0.931624
40  2  0.980769
41  2  0.82906
42  2  0.940171
43  2  0.974359
44  2  0.991453
45  2  0.948718
46  2  0.791209
47  2  0.375
48  2  0.931624
49  2  0.990385
0  3  0.760684
1  3  0.905983
2  3  0.769231
3  3  0.794872
4  3  0.971154
5  3  0.940171
6  3  0.905983
7  3  0.649573
8  3  0.974359
9  3  0.730769
10  3  0.865385
11  3  0.786325
12  3  0.504274
13  3  0.692308
14  3  0.931624
15  3  0.735043
16  3  0.605769
17  3  0.871795
18  3  0.974359
19  3  0.982906
20  3  0.957265
21  3  0.888889
22  3  0.837607
23  3  0.769231
24  3  0.666667
25  3  0.589744
26  3  0.931624
27  3  0.666667
28  3  0.307692
29  3  0.615385
30  3  0.957265
31  3  0.931624
32  3  0.854701
33  3  0.871795
34  3  0.666667
35  3  0.948718
36  3  0.91453
37  3  0.948718
38  3  0.965812
39  3  0.888889
40  3  0.990385
41  3  0.837607
42  3  0.820513
43  3  0.948718
44  3  0.965812
45  3  0.888889
46  3  0.967033
47  3  0.326923
48  3  0.965812
49  3  0.990385
0  4  0.820513
1  4  0.880342
2  4  0.857143
3  4  0.811966
4  4  0.961538
5  4  0.957265
6  4  0.991453
7  4  0.393162
8  4  0.880342
9  4  0.884615
10  4  0.923077
11  4  0.854701
12  4  0.538462
13  4  0.811966
14  4  0.982906
15  4  0.777778
16  4  0.557692
17  4  0.957265
18  4  0.991453
19  4  1
20  4  0.957265
21  4  0.965812
22  4  0.820513
23  4  0.905983
24  4  0.564103
25  4  0.709402
26  4  0.871795
27  4  0.57265
28  4  0.263736
29  4  0.555556
30  4  0.940171
31  4  0.940171
32  4  0.905983
33  4  0.863248
34  4  0.74359
35  4  0.923077
36  4  0.940171
37  4  1
38  4  0.991453
39  4  0.974359
40  4  1
41  4  0.854701
42  4  0.923077
43  4  0.957265
44  4  0.974359
45  4  0.940171
46  4  0.912088
