fact_idx  method_idx  pass_rate
0  0  0.871795
1  0  0.982906
2  0  0.802198
3  0  0.905983
4  0  0.990385
5  0  0.957265
6  0  0.931624
7  0  0.777778
8  0  0.965812
9  0  0.884615
10  0  0.971154
11  0  0.837607
12  0  0.811966
13  0  0.641026
14  0  0.974359
15  0  0.666667
16  0  0.701923
17  0  0.965812
18  0  0.982906
19  0  0.982906
20  0  0.982906
21  0  0.974359
22  0  0.837607
23  0  0.974359
24  0  0.700855
25  0  0.888889
26  0  0.923077
27  0  0.752137
28  0  0.494505
29  0  0.675214
30  0  0.982906
31  0  0.974359
32  0  0.641026
33  0  0.777778
34  0  0.931624
35  0  0.905983
36  0  0.794872
37  0  0.974359
38  0  0.957265
39  0  0.897436
40  0  0.942308
41  0  0.957265
42  0  0.982906
43  0  0.897436
44  0  0.982906
45  0  0.880342
46  0  1
47  0  0.644231
48  0  0.811966
49  0  1
0  1  0.91453
1  1  0.974359
2  1  0.89011
3  1  0.940171
4  1  0.961538
5  1  0.965812
6  1  0.880342
7  1  0.666667
8  1  0.974359
9  1  0.894231
10  1  0.951923
11  1  0.820513
12  1  0.726496
13  1  0.57265
14  1  0.948718
15  1  0.786325
16  1  0.730769
17  1  0.991453
18  1  0.982906
19  1  1
20  1  0.974359
21  1  0.991453
22  1  0.905983
23  1  0.948718
24  1  0.717949
25  1  0.957265
26  1  0.905983
27  1  0.769231
28  1  0.593407
29  1  0.666667
30  1  0.982906
31  1  0.965812
32  1  0.649573
33  1  0.82906
34  1  0.965812
35  1  0.905983
36  1  0.752137
37  1  1
38  1  0.957265
39  1  0.905983
40  1  0.942308
41  1  0.940171
42  1  0.991453
43  1  0.837607
44  1  0.982906
45  1  0.897436
46  1  0.989011
47  1  0.605769
48  1  0.777778
49  1  1
0  2  0.769231
1  2  0.974359
2  2  0.802198
3  2  0.871795
4  2  0.961538
5  2  0.974359
6  2  0.871795
7  2  0.726496
8  2  0.957265
9  2  0.846154
10  2  0.961538
11  2  0.709402
12  2  0.692308
13  2  0.435897
14  2  0.888889
15  2  0.769231
16  2  0.576923
17  2  0.991453
18  2  0.965812
19  2  0.982906
20  2  0.965812
