fact_idx  method_idx  pass_rate
0  0  0.923077
1  0  0.982906
2  0  0.857143
3  0  0.931624
4  0  0.971154
5  0  0.948718
6  0  1
7  0  0.888889
8  0  1
9  0  0.788462
10  0  0.990385
11  0  0.931624
12  0  0.794872
13  0  0.717949
14  0  1
15  0  0.91453
16  0  0.798077
17  0  1
18  0  0.888889
19  0  0.982906
20  0  0.957265
21  0  0.965812
22  0  0.974359
23  0  0.982906
24  0  0.709402
25  0  0.957265
26  0  0.948718
27  0  0.957265
28  0  0.692308
29  0  0.940171
30  0  0.982906
31  0  0.974359
32  0  0.940171
33  0  0.897436
34  0  0.991453
35  0  0.982906
36  0  0.709402
37  0  1
38  0  1
39  0  0.957265
40  0  0.990385
41  0  0.991453
42  0  0.991453
43  0  0.991453
44  0  0.991453
45  0  1
46  0  0.989011
47  0  0.740385
48  0  0.931624
49  0  1
0  1  0.948718
1  1  0.982906
2  1  0.857143
3  1  0.948718
4  1  0.980769
5  1  0.974359
6  1  0.991453
7  1  0.820513
8  1  1
9  1  0.778846
10  1  1
11  1  0.91453
12  1  0.769231
13  1  0.74359
14  1  1
15  1  0.871795
16  1  0.644231
17  1  0.982906
18  1  0.888889
19  1  0.982906
20  1  0.931624
21  1  0.974359
22  1  1
23  1  0.982906
24  1  0.495726
25  1  0.888889
26  1  0.931624
27  1  0.940171
28  1  0.593407
29  1  0.905983
30  1  0.974359
31  1  0.948718
32  1  0.837607
33  1  0.888889
34  1  0.957265
35  1  0.974359
36  1  0.709402
37  1  1
38  1  1
39  1  0.957265
40  1  0.980769
41  1  0.982906
42  1  0.991453
43  1  0.982906
44  1  0.991453
45  1  0.991453
46  1  0.978022
47  1  0.644231
48  1  0.905983
49  1  1
0  2  0.846154
1  2  1
2  2  0.824176
3  2  0.957265
4  2  0.990385
5  2  0.965812
6  2  0.991453
7  2  0.74359
8  2  1
9  2  0.721154
10  2  1
11  2  0.888889
12  2  0.726496
13  2  0.700855
14  2  1
15  2  0.777778
16  2  0.586538
17  2  0.982906
18  2  0.803419
19  2  0.948718
20  2  0.846154
21  2  0.991453
22  2  0.991453
23  2  0.974359
24  2  0.376068
25  2  0.880342
26  2  0.91453
27  2  0.880342
28  2  0.505495
29  2  0.91453
30  2  0.965812
31  2  0.982906
32  2  0.846154
33  2  0.871795
34  2  0.991453
35  2  0.991453
36  2  0.692308
37  2  1
38  2  1
39  2  0.957265
40  2  0.980769
41  2  0.991453
42  2  0.991453
43  2  0.991453
44  2  0.982906
45  2  0.982906
46  2  0.989011
47  2  0.634615
48  2  0.940171
49  2  1
0  3  0.846154
1  3  0.991453
2  3  0.758242
3  3  0.982906
4  3  0.971154
5  3  0.940171
6  3  1
7  3  0.717949
8  3  1
9  3  0.778846
10  3  0.980769
11  3  0.91453
12  3  0.683761
13  3  0.555556
14  3  1
15  3  0.811966
16  3  0.557692
17  3  0.940171
18  3  0.65812
19  3  0.871795
20  3  0.91453
21  3  0.982906
22  3  0.854701
23  3  0.965812
24  3  0.333333
25  3  0.803419
26  3  0.871795
27  3  0.888889
28  3  0.505495
29  3  0.923077
30  3  0.888889
31  3  0.897436
32  3  0.803419
33  3  0.786325
34  3  0.897436
