0	Always be cautious of "hazard trees" with structural defects, such as those damaged by age, fire, disease, or storms, and never approach or camp near trees with visible cracks or large broken branches that may fall unexpectedly.  Additional Info: Falling trees are a significant hazard in forests, often overlooked until they cause harm. Hazard trees can be weakened by factors like ice storms or insect damage, resulting in dangerous conditions long after the weather event has passed. Cracked branches may not fall immediately, but they remain a risk to people and property. Recognizing and avoiding these trees is vital for safety in forested areas.
1	Always check water temperatures before entering cold bodies of water and wear a life jacket, wetsuit, or dry suit depending on the activity, and never stay in water colder than 70°F for extended periods of time.  Additional Info: Cold water can be much colder than expected, even in summer, and can lead to serious risks such as cold shock, making it difficult to breathe and swim. Cold shock can cause drowning if help doesn’t arrive quickly. It’s important to be prepared to protect your body from the effects of cold water.
2	Always keep feet clean and dry to prevent trench foot, and never ignore swelling or pain in the feet as it may worsen the condition.  Additional Info: Trench foot commonly affects people who work in wet, cold conditions for extended periods. When feet are submerged in water for long durations, the skin loses heat and becomes damaged, leading to pain, swelling, and a heavy feeling. Immediate care, such as soaking affected feet in warm water and wearing dry socks, is essential to avoid long-term damage.
3	Always keep lilies out of reach of cats and never allow them to ingest or come into contact with the plant or its pollen.  Additional Info: Lilies are highly toxic to cats, and even a small amount of ingestion or exposure to pollen can cause kidney failure and potentially death.
4	Always keep oleander plants out of reach of pets, and never consume any part of the plant as it contains toxic cardiac glycosides.  Additional Info: Oleander can cause severe health issues, including drooling, diarrhea, abdominal pain, abnormal heart rhythm, and neurological symptoms if ingested.
5	Always keep sago palms out of reach of pets and never allow pets to chew on or ingest any part of the plant.  Additional Info: Sago palms contain cycasin, a toxin that can cause severe liver failure within days of ingestion. Immediate treatment is crucial, as ingestion can be fatal.
6	Always keep your dog away from macadamia nuts and any foods containing them, as even a small amount can be toxic.  Additional Info: Just six raw or roasted macadamia nuts can make a dog sick, causing symptoms such as muscle shakes, vomiting, high temperature, and weakness in their back legs. If consumed with chocolate, the effects can worsen and may lead to death.
7	Always stay close to shore and wear a life jacket when swimming in rivers and lakes, and never swim to rocks or other formations in the middle of the water or to the opposite shore.
8	Always wear a life jacket when participating in any boating, paddling, or towed water sport, and never assume you’re safe just because you’re a good swimmer.  Additional Info: It’s common for people to overlook the importance of wearing a life jacket, thinking they can swim if necessary. However, according to the U.S. Coast Guard, in 2018, 77% of boating-related fatalities were due to drowning, and 84% of those victims were not wearing a life jacket. The U.S. Army Corps of Engineers also reports that the majority of water-related fatalities at their lakes and rivers were men aged 18 and older, and 87% of them were not wearing life jackets. These statistics highlight the critical importance of always wearing a life jacket for safety.
9	Avoid letting your pet chew on aloe plants, as it can cause vomiting, diarrhea, and lethargy. While the inner gel is generally safe for human use on scrapes and burns, do not apply it to your pet.  Additional Info: Aloe contains compounds that can be harmful to animals if ingested, and even topical use on pets can cause adverse reactions. Always keep aloe plants out of reach of pets.
10	Children under 12 months should have no comforters in their crib.
11	Children under 12 months should have no pillows in their crib.
12	Children under 12 months should have no stuffed animals in their crib.
13	Children under 12 months should ride in a rear-facing car seat.
14	Children under 12 months should sleep on their backs.
15	Children under 24 months old should not eat marshmallows.
16	Children under 24 months old should not eat melon balls.
17	Children under 24 months old should not eat round hard candy.
18	Children under 24 months old should not eat uncut cherry tomatoes.
19	Children under 24 months old should not eat whole grapes.
20	Children under 24 months old should not eat whole hot dogs.
21	Children under 24 months old should not eat whole macadamia nuts.
22	Children under 24 months old should not eat whole popcorn
23	Children under 24 months old should not eat whole sausages.
24	Children under 6 should not blow into balloons.
25	Do not carry a baby and hot liquids.
26	Do not leave a baby alone on changing table
27	Do not slice hot dog width-wise and give to child under 2.
28	Do not slice sausages width-wise and give to child under 2.
29	During a thunderstorm, seek shelter in a substantial building or a hard-topped vehicle and avoid crouching outdoors.
30	Keep asparagus ferns out of reach of pets to prevent ingestion, as they can be toxic to cats and dogs.  Additional Info: Asparagus ferns contain compounds that can cause vomiting, diarrhea, and abdominal pain in pets if consumed. Their hardy nature and feathery leaves make them appealing but potentially hazardous for curious animals.
31	Keep chrysanthemums out of reach of pets to prevent ingestion, and never allow pets to chew on or eat any part of the plant.  Additional Info: Chrysanthemums contain toxic components that can cause vomiting and incoordination in pets. Symptoms are typically mild if only a small amount is consumed, but it's best to avoid exposure altogether.
32	Keep dogs away from persimmons, peaches, and plums, and ensure they never eat the seeds or pits from these fruits.  Additional Info: The seeds from persimmons can block a dog's intestines, and pits from peaches and plums can do the same. Peach and plum pits also contain cyanide, which is toxic to both dogs and humans. Dogs are unable to recognize these dangers.
33	Keep jade plants out of reach of pets and never allow them to chew on the plant, as it can cause vomiting, depression, and loss of balance.  Additional Info: Jade plants, also known as money plants or lucky plants, are popular succulents but are toxic when ingested.
34	Keep lilies out of your home if you have cats, and never allow your cat to come into contact with lily plants or their pollen.  Additional Info: Lilies are extremely toxic to cats, and even ingesting a small amount or licking pollen off their coat can cause kidney failure and death.
35	Keep onions and garlic – whether powdered, raw, cooked, or dehydrated – away from your dog to prevent poisoning and serious health issues.  Additional Info: Onions and garlic can kill your dog's red blood cells, leading to anemia. Even small amounts, like onion powder in baby food, can cause harm. Symptoms of poisoning include weakness, vomiting, and breathing problems.
36	Keep philodendron, snake plant, and pothos (devil’s ivy) out of reach of pets to prevent ingestion, as these plants contain calcium oxalate crystals that can cause burns, drooling, and vomiting.  Additional Info: Calcium oxalate crystals in these plants can irritate the mouth and digestive tract of pets, making them potentially harmful even in small amounts.
37	Never allow your dog to consume products containing xylitol, including candy, gum, toothpaste, baked goods, or diet foods. Always check ingredient labels before offering these items.  Additional Info: Xylitol can cause a dangerous drop in your dog's blood sugar and may lead to liver failure, making it extremely toxic even in small amounts.
38	Never apply concentrated essential oils (100%) directly on pets or allow them to come into contact with them, and always store them securely to prevent accidental ingestion or exposure.  Additional Info: Direct contact with concentrated essential oils can cause symptoms in pets such as unsteadiness, depression, and low body temperature. Ingestion may lead to vomiting, diarrhea, and severe health concerns.
39	Never assume the water depth is consistent, as uneven bottoms, low tide shelves, ledges, or holes can suddenly increase water depth, making it difficult to touch the bottom.  Additional Info: Natural bodies of water often lack the gradual depth transitions found in swimming pools, and sudden changes can catch swimmers off guard, especially in areas where the depth exceeds chin level. This can be especially dangerous for inexperienced or non-swimmers who may struggle to keep their heads above water or swim back to shore. Wearing a life jacket can provide vital support and help prevent accidents.
40	Never feed grapes to dogs, regardless of their breed, age, or gender.  Additional Info: Grapes are highly toxic to dogs and can cause severe health issues, including kidney failure, which may be life-threatening.
41	Never give chocolate to dogs, and always ensure it is kept out of their reach.  Additional Info: Chocolate contains theobromine, which is toxic to dogs. Even small amounts can cause vomiting, diarrhea, heart problems, tremors, seizures, or death. Dark chocolate and unsweetened baking chocolate are the most dangerous, but all types of chocolate, including white chocolate, pose a risk.
42	Never give your dog alcohol in any form, including beer, wine, liquor, or foods containing alcohol.  Additional Info: Alcohol is toxic to dogs and can cause severe health issues such as vomiting, diarrhea, lack of coordination, breathing problems, coma, and even death. Smaller dogs are particularly vulnerable as it takes very little alcohol to cause harm.
43	Never seek shelter under a tree during a thunderstorm, as it is one of the leading causes of lightning casualties. Instead, find a safe indoor location or a low, sheltered area away from tall objects.
44	Preschool children should always wear a life jacket when in or near water and never be left without touch supervision.
45	Toddlers should not ride in the front seat of a car.
46	Use gates on stairways for toddlers.
47	When caught in a current, swimmers should swim parallel to shore and avoid fighting the current directly.
48	When caught in a thunderstorm, seek shelter in a safe building or vehicle and avoid standing under trees.
49	Window covering cords should be out of reach for toddlers.
