family_idx  method_idx  method  accuracy_pct  acc_lo_pct  acc_hi_pct
0  0  opd_e1  35.3535  28.7879  41.4141
0  1  opd_final  31.8182  25.7576  38.8889
0  2  sft  29.798  23.7374  36.3636
0  3  sft_e1  28.7879  22.2222  35.3535
0  4  sft_opd  11.6162  7.57576  16.1616
1  0  opd_e1  40.9091  33.8384  46.9823
1  1  opd_final  39.3939  32.3232  45.9722
1  2  sft  38.3838  31.3131  45.4545
1  3  sft_e1  41.4141  34.8485  47.9798
1  4  sft_opd  39.899  33.3333  46.9697
2  0  opd_e1  59.0909  52.5253  66.1742
2  1  opd_final  52.5253  45.4545  59.596
2  2  sft  53.0303  45.4545  60.101
2  3  sft_e1  58.0808  51.0101  65.1515
2  4  sft_opd  53.5354  46.9697  60.6061
