family_idx  method_idx  method  accuracy_pct  acc_lo_pct  acc_hi_pct
0  0  opd_e1  62.6617  58.9649  66.7329
0  1  opd_final  65.9889  62.4723  70.0555
0  2  sft  65.9889  62.1072  69.6858
0  3  sft_e1  65.6192  61.7375  69.3161
0  4  sft_opd  50.647  46.2107  55.268
1  0  opd_e1  82.9945  79.6673  85.9519
1  1  opd_final  83.549  80.4067  86.5065
1  2  sft  83.549  80.037  86.5111
1  3  sft_e1  84.4732  81.146  87.4307
1  4  sft_opd  83.1793  79.8521  86.3216
2  0  opd_e1  73.3826  69.6858  76.8946
2  1  opd_final  71.9039  68.0222  75.6007
2  2  sft  71.1645  67.098  75.0462
2  3  sft_e1  72.2736  68.7569  75.9704
2  4  sft_opd  69.8706  65.8041  73.9372
